DATE,Kabupaten,national,traffic,swe,e2e_delay,video_streaming_download_throughput
2025-05-11,KAB. BULELENG,Indonesia-SF,34908131612248.0,47023.0,180.49313950101742,1794.5762095845246
2025-05-11,KAB. BULELENG,Indonesia-XL,123915890429500.0,175115.0,150.44775408088668,4484.689355221441
2025-05-11,KAB. BULUKUMBA,Indonesia-SF,27204291068137.0,26328.0,229.15592070147835,1549.665831058613
2025-05-11,KAB. BULUKUMBA,Indonesia-XL,112232533073336.0,68201.0,272.17028269063206,2705.082040982706
2025-05-11,KAB. BULUNGAN,Indonesia-XL,4952952353575.0,2921.0,505.23426118151514,3327.966217800015
2025-05-11,KAB. BUNGO,Indonesia-SF,1976739731263.0,1908.0,173.6786182994105,2540.443779440147
2025-05-11,KAB. BUNGO,Indonesia-XL,89332095745291.0,63976.0,134.0738879843399,3765.6693611483743
2025-05-11,KAB. BUOL,Indonesia-SF,4651082407.0,9.0,81.48028578129085,3467.290258989896
2025-05-11,KAB. BUOL,Indonesia-XL,1334163928791.0,887.0,191.4448334224923,5221.276071846049
2025-05-11,KAB. BURU,Indonesia-XL,54015709817.0,97.0,1418.1372286346395,527.48405686432
2025-05-11,KAB. BURU SELATAN,Indonesia-XL,60003091036.0,224.0,2068.360674457684,421.20872918169
2025-05-11,KAB. BUTON,Indonesia-XL,923121449697.0,697.0,736.3667090574064,2901.1198030604464
2025-05-11,KAB. BUTON TENGAH,Indonesia-XL,2196450109714.0,1795.0,263.4257889344948,4042.424881783602
2025-05-11,KAB. CIAMIS,Indonesia-SF,22066707448775.0,22726.0,216.2873655638137,1659.5020959040194
2025-05-11,KAB. CIAMIS,Indonesia-XL,137207816013063.0,147429.0,150.80841625603213,4262.586964672018
2025-05-11,KAB. CIANJUR,Indonesia-SF,26467580907749.0,29087.0,190.7948850986228,1902.4973782469062
2025-05-11,KAB. CIANJUR,Indonesia-XL,417890737222910.0,528422.0,162.86912038913053,3638.490671491658
2025-05-11,KAB. CILACAP,Indonesia-SF,192594038792535.0,197144.0,146.55986712549418,1558.4484982821687
2025-05-11,KAB. CILACAP,Indonesia-XL,175448461436375.0,183609.0,132.98127567589952,4994.291113640172
2025-05-11,KAB. CIREBON,Indonesia-SF,82622341196064.0,83518.0,123.90846745971844,1918.7806590711257
2025-05-11,KAB. CIREBON,Indonesia-XL,382939562862910.0,494813.0,99.06340945990328,4540.480965712862
2025-05-11,KAB. DAIRI,Indonesia-SF,9836478546479.0,7590.0,212.63667203663832,1694.4904921684551
2025-05-11,KAB. DAIRI,Indonesia-XL,62137479795879.0,36581.0,147.58439613733748,2662.530166312658
2025-05-11,KAB. DELI SERDANG,Indonesia-SF,51759326335193.0,47345.0,134.2446230469239,2192.743191166544
2025-05-11,KAB. DELI SERDANG,Indonesia-XL,546463311864206.0,370905.0,123.23012744356241,3147.960877438892
2025-05-11,KAB. DEMAK,Indonesia-SF,103741495941046.0,141835.0,127.68196641237027,1804.6018862403105
2025-05-11,KAB. DEMAK,Indonesia-XL,92180196843323.0,98142.0,119.86673658684431,5452.109398492141
2025-05-11,KAB. DHARMASRAYA,Indonesia-SF,99583844339.0,184.0,207.953946918359,1634.2263915212757
2025-05-11,KAB. DHARMASRAYA,Indonesia-XL,49819805012519.0,29953.0,137.25356714873936,4144.428077938465
2025-05-11,KAB. DOMPU,Indonesia-XL,51346228503738.0,46928.0,165.93853716256487,4051.9037024381287
2025-05-11,KAB. DONGGALA,Indonesia-SF,9381188947.0,56.0,256.9259951716577,2088.1557124640985
2025-05-11,KAB. DONGGALA,Indonesia-XL,27291745791687.0,30210.0,247.82152519142758,3602.1519919967322
2025-05-11,KAB. EMPAT LAWANG,Indonesia-SF,1855644131824.0,1607.0,267.60840329348605,1849.4451216513748
2025-05-11,KAB. EMPAT LAWANG,Indonesia-XL,31252791288280.0,31948.0,155.652638527228,2786.7088466331015
2025-05-11,KAB. ENDE,Indonesia-XL,9525846874198.0,7222.0,220.38504000222554,3729.2017097834064
2025-05-11,KAB. ENREKANG,Indonesia-SF,8605825541795.0,6765.0,143.9785889136685,2540.2669071862433
2025-05-11,KAB. ENREKANG,Indonesia-XL,15434084623723.0,9708.0,224.0009085139378,3640.66156424381
2025-05-11,KAB. FAK FAK,Indonesia-XL,28883442693.0,194.0,3882.7799530970956,578.9586155931901
2025-05-11,KAB. FLORES TIMUR,Indonesia-XL,3633949646740.0,2443.0,245.2635960511252,4499.377537844298
